school,grade,number_candidates,score,subject,year,area
VISION SECONDARY,E,4,1,physics,2019,kk
VISION SECONDARY,X,0,0,physics,2019,kk
VISION SECONDARY,Y,0,0,physics,2019,kk
VISION SECONDARY,U,0,0,physics,2019,kk
VISION SECONDARY,P,0,0,physics,2019,kk
VISION SECONDARY,W,0,0,physics,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,physics,2019,kk
KAKUMA REFUGEE SECONDARY,A-,1,11,physics,2019,kk
KAKUMA REFUGEE SECONDARY,B+,0,10,physics,2019,kk
KAKUMA REFUGEE SECONDARY,B,2,9,physics,2019,kk
KAKUMA REFUGEE SECONDARY,B-,0,8,physics,2019,kk
KAKUMA REFUGEE SECONDARY,C+,1,7,physics,2019,kk
KAKUMA REFUGEE SECONDARY,C,1,6,physics,2019,kk
KAKUMA REFUGEE SECONDARY,C-,4,5,physics,2019,kk
KAKUMA REFUGEE SECONDARY,D+,3,4,physics,2019,kk
KAKUMA REFUGEE SECONDARY,D,26,3,physics,2019,kk
KAKUMA REFUGEE SECONDARY,D-,20,2,physics,2019,kk
KAKUMA REFUGEE SECONDARY,E,27,1,physics,2019,kk
KAKUMA REFUGEE SECONDARY,X,3,0,physics,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,physics,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,physics,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,physics,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,physics,2019,kk
GREEN LIGHT SECONDARY,A,0,12,physics,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,physics,2019,kk
GREEN LIGHT SECONDARY,B+,0,10,physics,2019,kk
GREEN LIGHT SECONDARY,B,1,9,physics,2019,kk
GREEN LIGHT SECONDARY,B-,2,8,physics,2019,kk
GREEN LIGHT SECONDARY,C+,1,7,physics,2019,kk
GREEN LIGHT SECONDARY,C,1,6,physics,2019,kk
GREEN LIGHT SECONDARY,C-,1,5,physics,2019,kk
GREEN LIGHT SECONDARY,D+,0,4,physics,2019,kk
GREEN LIGHT SECONDARY,D,10,3,physics,2019,kk
GREEN LIGHT SECONDARY,D-,16,2,physics,2019,kk
GREEN LIGHT SECONDARY,E,15,1,physics,2019,kk
GREEN LIGHT SECONDARY,X,0,0,physics,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,physics,2019,kk
GREEN LIGHT SECONDARY,U,0,0,physics,2019,kk
GREEN LIGHT SECONDARY,P,0,0,physics,2019,kk
GREEN LIGHT SECONDARY,W,0,0,physics,2019,kk
SOMALI BANTU SECONDARY,A,0,12,physics,2019,kk
SOMALI BANTU SECONDARY,A-,0,11,physics,2019,kk
SOMALI BANTU SECONDARY,B+,1,10,physics,2019,kk
SOMALI BANTU SECONDARY,B,2,9,physics,2019,kk
SOMALI BANTU SECONDARY,B-,1,8,physics,2019,kk
SOMALI BANTU SECONDARY,C+,1,7,physics,2019,kk
SOMALI BANTU SECONDARY,C,1,6,physics,2019,kk
SOMALI BANTU SECONDARY,C-,0,5,physics,2019,kk
SOMALI BANTU SECONDARY,D+,1,4,physics,2019,kk
SOMALI BANTU SECONDARY,D,11,3,physics,2019,kk
SOMALI BANTU SECONDARY,D-,16,2,physics,2019,kk
SOMALI BANTU SECONDARY,E,11,1,physics,2019,kk
SOMALI BANTU SECONDARY,X,2,0,physics,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,physics,2019,kk
SOMALI BANTU SECONDARY,U,0,0,physics,2019,kk
SOMALI BANTU SECONDARY,P,0,0,physics,2019,kk
SOMALI BANTU SECONDARY,W,0,0,physics,2019,kk
KALOBEYEI SECONDARY,A,0,12,physics,2019,kk
KALOBEYEI SECONDARY,A-,0,11,physics,2019,kk
KALOBEYEI SECONDARY,B+,0,10,physics,2019,kk
KALOBEYEI SECONDARY,B,0,9,physics,2019,kk
KALOBEYEI SECONDARY,B-,0,8,physics,2019,kk
KALOBEYEI SECONDARY,C+,0,7,physics,2019,kk
KALOBEYEI SECONDARY,C,1,6,physics,2019,kk
KALOBEYEI SECONDARY,C-,1,5,physics,2019,kk
KALOBEYEI SECONDARY,D+,0,4,physics,2019,kk
KALOBEYEI SECONDARY,D,1,3,physics,2019,kk
KALOBEYEI SECONDARY,D-,2,2,physics,2019,kk
KALOBEYEI SECONDARY,E,0,1,physics,2019,kk
KALOBEYEI SECONDARY,X,0,0,physics,2019,kk
KALOBEYEI SECONDARY,Y,0,0,physics,2019,kk
KALOBEYEI SECONDARY,U,0,0,physics,2019,kk
KALOBEYEI SECONDARY,P,0,0,physics,2019,kk
KALOBEYEI SECONDARY,W,0,0,physics,2019,kk
MORNEU SHEPPELL SECONDARY,A,0,12,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,B+,1,10,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,B,1,9,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,B-,6,8,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,C+,1,7,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,C,0,6,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,C-,5,5,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,D+,3,4,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,D,11,3,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,D-,32,2,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,E,13,1,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,X,1,0,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,chemistry,2019,kk
VISION SECONDARY,A,0,12,chemistry,2019,kk
VISION SECONDARY,A-,0,11,chemistry,2019,kk
VISION SECONDARY,B+,2,10,chemistry,2019,kk
VISION SECONDARY,B,2,9,chemistry,2019,kk
VISION SECONDARY,B-,1,8,chemistry,2019,kk
VISION SECONDARY,C+,5,7,chemistry,2019,kk
VISION SECONDARY,C,4,6,chemistry,2019,kk
VISION SECONDARY,C-,6,5,chemistry,2019,kk
VISION SECONDARY,D+,5,4,chemistry,2019,kk
VISION SECONDARY,D,45,3,chemistry,2019,kk
VISION SECONDARY,D-,177,2,chemistry,2019,kk
VISION SECONDARY,E,176,1,chemistry,2019,kk
VISION SECONDARY,X,6,0,chemistry,2019,kk
VISION SECONDARY,Y,0,0,chemistry,2019,kk
VISION SECONDARY,U,0,0,chemistry,2019,kk
VISION SECONDARY,P,0,0,chemistry,2019,kk
VISION SECONDARY,W,0,0,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,A,1,12,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,A-,1,11,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,B+,1,10,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,B,1,9,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,B-,3,8,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,C+,2,7,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,C,1,6,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,C-,1,5,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,D+,5,4,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,D,29,3,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,D-,101,2,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,E,371,1,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,X,9,0,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,chemistry,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,chemistry,2019,kk
GREEN LIGHT SECONDARY,A,0,12,chemistry,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,chemistry,2019,kk
GREEN LIGHT SECONDARY,B+,1,10,chemistry,2019,kk
GREEN LIGHT SECONDARY,B,2,9,chemistry,2019,kk
GREEN LIGHT SECONDARY,B-,1,8,chemistry,2019,kk
GREEN LIGHT SECONDARY,C+,3,7,chemistry,2019,kk
GREEN LIGHT SECONDARY,C,2,6,chemistry,2019,kk
GREEN LIGHT SECONDARY,C-,2,5,chemistry,2019,kk
GREEN LIGHT SECONDARY,D+,6,4,chemistry,2019,kk
GREEN LIGHT SECONDARY,D,20,3,chemistry,2019,kk
GREEN LIGHT SECONDARY,D-,75,2,chemistry,2019,kk
GREEN LIGHT SECONDARY,E,260,1,chemistry,2019,kk
GREEN LIGHT SECONDARY,X,8,0,chemistry,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,chemistry,2019,kk
GREEN LIGHT SECONDARY,U,0,0,chemistry,2019,kk
GREEN LIGHT SECONDARY,P,1,0,chemistry,2019,kk
GREEN LIGHT SECONDARY,W,0,0,chemistry,2019,kk
SOMALI BANTU SECONDARY,A,0,12,chemistry,2019,kk
SOMALI BANTU SECONDARY,A-,1,11,chemistry,2019,kk
SOMALI BANTU SECONDARY,B+,1,10,chemistry,2019,kk
SOMALI BANTU SECONDARY,B,2,9,chemistry,2019,kk
SOMALI BANTU SECONDARY,B-,1,8,chemistry,2019,kk
SOMALI BANTU SECONDARY,C+,7,7,chemistry,2019,kk
SOMALI BANTU SECONDARY,C,7,6,chemistry,2019,kk
SOMALI BANTU SECONDARY,C-,3,5,chemistry,2019,kk
SOMALI BANTU SECONDARY,D+,6,4,chemistry,2019,kk
SOMALI BANTU SECONDARY,D,32,3,chemistry,2019,kk
SOMALI BANTU SECONDARY,D-,116,2,chemistry,2019,kk
SOMALI BANTU SECONDARY,E,365,1,chemistry,2019,kk
SOMALI BANTU SECONDARY,X,21,0,chemistry,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,chemistry,2019,kk
SOMALI BANTU SECONDARY,U,0,0,chemistry,2019,kk
SOMALI BANTU SECONDARY,P,0,0,chemistry,2019,kk
SOMALI BANTU SECONDARY,W,0,0,chemistry,2019,kk
KALOBEYEI SECONDARY,A,0,12,chemistry,2019,kk
KALOBEYEI SECONDARY,A-,0,11,chemistry,2019,kk
KALOBEYEI SECONDARY,B+,0,10,chemistry,2019,kk
KALOBEYEI SECONDARY,B,0,9,chemistry,2019,kk
KALOBEYEI SECONDARY,B-,1,8,chemistry,2019,kk
KALOBEYEI SECONDARY,C+,0,7,chemistry,2019,kk
KALOBEYEI SECONDARY,C,1,6,chemistry,2019,kk
KALOBEYEI SECONDARY,C-,0,5,chemistry,2019,kk
KALOBEYEI SECONDARY,D+,0,4,chemistry,2019,kk
KALOBEYEI SECONDARY,D,2,3,chemistry,2019,kk
KALOBEYEI SECONDARY,D-,28,2,chemistry,2019,kk
KALOBEYEI SECONDARY,E,26,1,chemistry,2019,kk
KALOBEYEI SECONDARY,X,0,0,chemistry,2019,kk
KALOBEYEI SECONDARY,Y,0,0,chemistry,2019,kk
KALOBEYEI SECONDARY,U,0,0,chemistry,2019,kk
KALOBEYEI SECONDARY,P,0,0,chemistry,2019,kk
KALOBEYEI SECONDARY,W,0,0,chemistry,2019,kk
MORNEU SHEPPELL SECONDARY,A,2,12,history,2019,kk
MORNEU SHEPPELL SECONDARY,A-,1,11,history,2019,kk
MORNEU SHEPPELL SECONDARY,B+,2,10,history,2019,kk
MORNEU SHEPPELL SECONDARY,B,5,9,history,2019,kk
MORNEU SHEPPELL SECONDARY,B-,6,8,history,2019,kk
MORNEU SHEPPELL SECONDARY,C+,1,7,history,2019,kk
MORNEU SHEPPELL SECONDARY,C,3,6,history,2019,kk
MORNEU SHEPPELL SECONDARY,C-,0,5,history,2019,kk
MORNEU SHEPPELL SECONDARY,D+,5,4,history,2019,kk
MORNEU SHEPPELL SECONDARY,D,9,3,history,2019,kk
MORNEU SHEPPELL SECONDARY,D-,6,2,history,2019,kk
MORNEU SHEPPELL SECONDARY,E,1,1,history,2019,kk
MORNEU SHEPPELL SECONDARY,X,0,0,history,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,history,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,history,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,history,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,history,2019,kk
VISION SECONDARY,A,0,12,history,2019,kk
VISION SECONDARY,A-,0,11,history,2019,kk
VISION SECONDARY,B+,2,10,history,2019,kk
VISION SECONDARY,B,5,9,history,2019,kk
VISION SECONDARY,B-,15,8,history,2019,kk
VISION SECONDARY,C+,8,7,history,2019,kk
VISION SECONDARY,C,10,6,history,2019,kk
VISION SECONDARY,C-,8,5,history,2019,kk
VISION SECONDARY,D+,19,4,history,2019,kk
VISION SECONDARY,D,64,3,history,2019,kk
VISION SECONDARY,D-,48,2,history,2019,kk
VISION SECONDARY,E,9,1,history,2019,kk
VISION SECONDARY,X,4,0,history,2019,kk
VISION SECONDARY,Y,0,0,history,2019,kk
VISION SECONDARY,U,0,0,history,2019,kk
VISION SECONDARY,P,0,0,history,2019,kk
VISION SECONDARY,W,0,0,history,2019,kk
KAKUMA REFUGEE SECONDARY,A,2,12,history,2019,kk
KAKUMA REFUGEE SECONDARY,A-,2,11,history,2019,kk
KAKUMA REFUGEE SECONDARY,B+,2,10,history,2019,kk
KAKUMA REFUGEE SECONDARY,B,5,9,history,2019,kk
KAKUMA REFUGEE SECONDARY,B-,8,8,history,2019,kk
KAKUMA REFUGEE SECONDARY,C+,10,7,history,2019,kk
KAKUMA REFUGEE SECONDARY,C,11,6,history,2019,kk
KAKUMA REFUGEE SECONDARY,C-,11,5,history,2019,kk
KAKUMA REFUGEE SECONDARY,D+,12,4,history,2019,kk
KAKUMA REFUGEE SECONDARY,D,85,3,history,2019,kk
KAKUMA REFUGEE SECONDARY,D-,73,2,history,2019,kk
KAKUMA REFUGEE SECONDARY,E,36,1,history,2019,kk
KAKUMA REFUGEE SECONDARY,X,2,0,history,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,history,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,history,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,history,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,history,2019,kk
GREEN LIGHT SECONDARY,A,1,12,history,2019,kk
GREEN LIGHT SECONDARY,A-,2,11,history,2019,kk
GREEN LIGHT SECONDARY,B+,1,10,history,2019,kk
GREEN LIGHT SECONDARY,B,5,9,history,2019,kk
GREEN LIGHT SECONDARY,B-,7,8,history,2019,kk
GREEN LIGHT SECONDARY,C+,6,7,history,2019,kk
GREEN LIGHT SECONDARY,C,3,6,history,2019,kk
GREEN LIGHT SECONDARY,C-,11,5,history,2019,kk
GREEN LIGHT SECONDARY,D+,6,4,history,2019,kk
GREEN LIGHT SECONDARY,D,35,3,history,2019,kk
GREEN LIGHT SECONDARY,D-,61,2,history,2019,kk
GREEN LIGHT SECONDARY,E,83,1,history,2019,kk
GREEN LIGHT SECONDARY,X,6,0,history,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,history,2019,kk
GREEN LIGHT SECONDARY,U,0,0,history,2019,kk
GREEN LIGHT SECONDARY,P,0,0,history,2019,kk
GREEN LIGHT SECONDARY,W,0,0,history,2019,kk
SOMALI BANTU SECONDARY,A,1,12,history,2019,kk
SOMALI BANTU SECONDARY,A-,3,11,history,2019,kk
SOMALI BANTU SECONDARY,B+,2,10,history,2019,kk
SOMALI BANTU SECONDARY,B,4,9,history,2019,kk
SOMALI BANTU SECONDARY,B-,7,8,history,2019,kk
SOMALI BANTU SECONDARY,C+,7,7,history,2019,kk
SOMALI BANTU SECONDARY,C,7,6,history,2019,kk
SOMALI BANTU SECONDARY,C-,9,5,history,2019,kk
SOMALI BANTU SECONDARY,D+,11,4,history,2019,kk
SOMALI BANTU SECONDARY,D,54,3,history,2019,kk
SOMALI BANTU SECONDARY,D-,81,2,history,2019,kk
SOMALI BANTU SECONDARY,E,112,1,history,2019,kk
SOMALI BANTU SECONDARY,X,10,0,history,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,history,2019,kk
SOMALI BANTU SECONDARY,U,0,0,history,2019,kk
SOMALI BANTU SECONDARY,P,0,0,history,2019,kk
SOMALI BANTU SECONDARY,W,0,0,history,2019,kk
KALOBEYEI SECONDARY,A,0,12,history,2019,kk
KALOBEYEI SECONDARY,A-,0,11,history,2019,kk
KALOBEYEI SECONDARY,B+,0,10,history,2019,kk
KALOBEYEI SECONDARY,B,0,9,history,2019,kk
KALOBEYEI SECONDARY,B-,0,8,history,2019,kk
KALOBEYEI SECONDARY,C+,0,7,history,2019,kk
KALOBEYEI SECONDARY,C,2,6,history,2019,kk
KALOBEYEI SECONDARY,C-,2,5,history,2019,kk
KALOBEYEI SECONDARY,D+,2,4,history,2019,kk
KALOBEYEI SECONDARY,D,6,3,history,2019,kk
KALOBEYEI SECONDARY,D-,17,2,history,2019,kk
KALOBEYEI SECONDARY,E,18,1,history,2019,kk
KALOBEYEI SECONDARY,X,0,0,history,2019,kk
KALOBEYEI SECONDARY,Y,0,0,history,2019,kk
KALOBEYEI SECONDARY,U,0,0,history,2019,kk
KALOBEYEI SECONDARY,P,0,0,history,2019,kk
KALOBEYEI SECONDARY,W,0,0,history,2019,kk
MORNEU SHEPPELL SECONDARY,A,0,12,geography,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,geography,2019,kk
MORNEU SHEPPELL SECONDARY,B+,1,10,geography,2019,kk
MORNEU SHEPPELL SECONDARY,B,2,9,geography,2019,kk
MORNEU SHEPPELL SECONDARY,B-,1,8,geography,2019,kk
MORNEU SHEPPELL SECONDARY,C+,1,7,geography,2019,kk
MORNEU SHEPPELL SECONDARY,C,1,6,geography,2019,kk
MORNEU SHEPPELL SECONDARY,C-,4,5,geography,2019,kk
MORNEU SHEPPELL SECONDARY,D+,2,4,geography,2019,kk
MORNEU SHEPPELL SECONDARY,D,7,3,geography,2019,kk
MORNEU SHEPPELL SECONDARY,D-,1,2,geography,2019,kk
MORNEU SHEPPELL SECONDARY,E,0,1,geography,2019,kk
MORNEU SHEPPELL SECONDARY,X,1,0,geography,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,geography,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,geography,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,geography,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,geography,2019,kk
VISION SECONDARY,A,0,12,geography,2019,kk
VISION SECONDARY,A-,1,11,geography,2019,kk
VISION SECONDARY,B+,2,10,geography,2019,kk
VISION SECONDARY,B,1,9,geography,2019,kk
VISION SECONDARY,B-,5,8,geography,2019,kk
VISION SECONDARY,C+,5,7,geography,2019,kk
VISION SECONDARY,C,4,6,geography,2019,kk
VISION SECONDARY,C-,19,5,geography,2019,kk
VISION SECONDARY,D+,10,4,geography,2019,kk
VISION SECONDARY,D,66,3,geography,2019,kk
VISION SECONDARY,D-,56,2,geography,2019,kk
VISION SECONDARY,E,12,1,geography,2019,kk
VISION SECONDARY,X,1,0,geography,2019,kk
VISION SECONDARY,Y,0,0,geography,2019,kk
VISION SECONDARY,U,0,0,geography,2019,kk
VISION SECONDARY,P,0,0,geography,2019,kk
VISION SECONDARY,W,0,0,geography,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,geography,2019,kk
KAKUMA REFUGEE SECONDARY,A-,1,11,geography,2019,kk
KAKUMA REFUGEE SECONDARY,B+,2,10,geography,2019,kk
KAKUMA REFUGEE SECONDARY,B,8,9,geography,2019,kk
KAKUMA REFUGEE SECONDARY,B-,4,8,geography,2019,kk
KAKUMA REFUGEE SECONDARY,C+,6,7,geography,2019,kk
KAKUMA REFUGEE SECONDARY,C,10,6,geography,2019,kk
KAKUMA REFUGEE SECONDARY,C-,9,5,geography,2019,kk
KAKUMA REFUGEE SECONDARY,D+,10,4,geography,2019,kk
KAKUMA REFUGEE SECONDARY,D,50,3,geography,2019,kk
KAKUMA REFUGEE SECONDARY,D-,70,2,geography,2019,kk
KAKUMA REFUGEE SECONDARY,E,23,1,geography,2019,kk
KAKUMA REFUGEE SECONDARY,X,0,0,geography,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,geography,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,geography,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,geography,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,geography,2019,kk
GREEN LIGHT SECONDARY,A,0,12,geography,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,geography,2019,kk
GREEN LIGHT SECONDARY,B+,0,10,geography,2019,kk
GREEN LIGHT SECONDARY,B,2,9,geography,2019,kk
GREEN LIGHT SECONDARY,B-,3,8,geography,2019,kk
GREEN LIGHT SECONDARY,C+,1,7,geography,2019,kk
GREEN LIGHT SECONDARY,C,1,6,geography,2019,kk
GREEN LIGHT SECONDARY,C-,5,5,geography,2019,kk
GREEN LIGHT SECONDARY,D+,4,4,geography,2019,kk
GREEN LIGHT SECONDARY,D,10,3,geography,2019,kk
GREEN LIGHT SECONDARY,D-,24,2,geography,2019,kk
GREEN LIGHT SECONDARY,E,30,1,geography,2019,kk
GREEN LIGHT SECONDARY,X,3,0,geography,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,geography,2019,kk
GREEN LIGHT SECONDARY,U,0,0,geography,2019,kk
GREEN LIGHT SECONDARY,P,1,0,geography,2019,kk
GREEN LIGHT SECONDARY,W,0,0,geography,2019,kk
SOMALI BANTU SECONDARY,A,1,12,geography,2019,kk
SOMALI BANTU SECONDARY,A-,0,11,geography,2019,kk
SOMALI BANTU SECONDARY,B+,1,10,geography,2019,kk
SOMALI BANTU SECONDARY,B,1,9,geography,2019,kk
SOMALI BANTU SECONDARY,B-,2,8,geography,2019,kk
SOMALI BANTU SECONDARY,C+,2,7,geography,2019,kk
SOMALI BANTU SECONDARY,C,6,6,geography,2019,kk
SOMALI BANTU SECONDARY,C-,5,5,geography,2019,kk
SOMALI BANTU SECONDARY,D+,6,4,geography,2019,kk
SOMALI BANTU SECONDARY,D,23,3,geography,2019,kk
SOMALI BANTU SECONDARY,D-,35,2,geography,2019,kk
SOMALI BANTU SECONDARY,E,28,1,geography,2019,kk
SOMALI BANTU SECONDARY,X,6,0,geography,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,geography,2019,kk
SOMALI BANTU SECONDARY,U,0,0,geography,2019,kk
SOMALI BANTU SECONDARY,P,0,0,geography,2019,kk
SOMALI BANTU SECONDARY,W,0,0,geography,2019,kk
KALOBEYEI SECONDARY,A,0,12,geography,2019,kk
KALOBEYEI SECONDARY,A-,0,11,geography,2019,kk
KALOBEYEI SECONDARY,B+,0,10,geography,2019,kk
KALOBEYEI SECONDARY,B,0,9,geography,2019,kk
KALOBEYEI SECONDARY,B-,0,8,geography,2019,kk
KALOBEYEI SECONDARY,C+,0,7,geography,2019,kk
KALOBEYEI SECONDARY,C,0,6,geography,2019,kk
KALOBEYEI SECONDARY,C-,0,5,geography,2019,kk
KALOBEYEI SECONDARY,D+,0,4,geography,2019,kk
KALOBEYEI SECONDARY,D,0,3,geography,2019,kk
KALOBEYEI SECONDARY,D-,2,2,geography,2019,kk
KALOBEYEI SECONDARY,E,1,1,geography,2019,kk
KALOBEYEI SECONDARY,X,0,0,geography,2019,kk
KALOBEYEI SECONDARY,Y,0,0,geography,2019,kk
KALOBEYEI SECONDARY,U,0,0,geography,2019,kk
KALOBEYEI SECONDARY,P,0,0,geography,2019,kk
KALOBEYEI SECONDARY,W,0,0,geography,2019,kk
MORNEU SHEPPELL SECONDARY,A,0,12,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,B+,5,10,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,B,8,9,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,B-,10,8,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,C+,8,7,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,C,9,6,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,C-,9,5,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,D+,4,4,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,D,7,3,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,D-,4,2,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,E,0,1,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,X,1,0,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,christian_religious,2019,kk
VISION SECONDARY,A,0,12,christian_religious,2019,kk
VISION SECONDARY,A-,0,11,christian_religious,2019,kk
VISION SECONDARY,B+,0,10,christian_religious,2019,kk
VISION SECONDARY,B,4,9,christian_religious,2019,kk
VISION SECONDARY,B-,8,8,christian_religious,2019,kk
VISION SECONDARY,C+,20,7,christian_religious,2019,kk
VISION SECONDARY,C,17,6,christian_religious,2019,kk
VISION SECONDARY,C-,31,5,christian_religious,2019,kk
VISION SECONDARY,D+,28,4,christian_religious,2019,kk
VISION SECONDARY,D,108,3,christian_religious,2019,kk
VISION SECONDARY,D-,110,2,christian_religious,2019,kk
VISION SECONDARY,E,57,1,christian_religious,2019,kk
VISION SECONDARY,X,6,0,christian_religious,2019,kk
VISION SECONDARY,Y,0,0,christian_religious,2019,kk
VISION SECONDARY,U,0,0,christian_religious,2019,kk
VISION SECONDARY,P,0,0,christian_religious,2019,kk
VISION SECONDARY,W,0,0,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,A-,3,11,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,B+,2,10,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,B,6,9,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,B-,8,8,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,C+,13,7,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,C,26,6,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,C-,16,5,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,D+,21,4,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,D,102,3,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,D-,151,2,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,E,58,1,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,X,0,0,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,christian_religious,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,christian_religious,2019,kk
GREEN LIGHT SECONDARY,A,0,12,christian_religious,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,christian_religious,2019,kk
GREEN LIGHT SECONDARY,B+,1,10,christian_religious,2019,kk
GREEN LIGHT SECONDARY,B,6,9,christian_religious,2019,kk
GREEN LIGHT SECONDARY,B-,11,8,christian_religious,2019,kk
GREEN LIGHT SECONDARY,C+,12,7,christian_religious,2019,kk
