school,grade,number_candidates,score,subject,year,area
KALOBEYEI SECONDARY,C,1,6,english,2019,kk
KALOBEYEI SECONDARY,C-,1,5,english,2019,kk
KALOBEYEI SECONDARY,D+,2,4,english,2019,kk
KALOBEYEI SECONDARY,D,25,3,english,2019,kk
KALOBEYEI SECONDARY,D-,25,2,english,2019,kk
KALOBEYEI SECONDARY,E,4,1,english,2019,kk
KALOBEYEI SECONDARY,X,0,0,english,2019,kk
KALOBEYEI SECONDARY,Y,0,0,english,2019,kk
KALOBEYEI SECONDARY,U,0,0,english,2019,kk
KALOBEYEI SECONDARY,P,0,0,english,2019,kk
KALOBEYEI SECONDARY,W,0,0,english,2019,kk
MORNEU SHEPPELL SECONDARY,A,0,12,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,B+,0,10,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,B,0,9,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,B-,0,8,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,C+,6,7,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,C,8,6,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,C-,4,5,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,D+,7,4,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,D,32,3,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,D-,14,2,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,E,2,1,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,X,1,0,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,kiswahili,2019,kk
VISION SECONDARY,A,0,12,kiswahili,2019,kk
VISION SECONDARY,A-,0,11,kiswahili,2019,kk
VISION SECONDARY,B+,1,10,kiswahili,2019,kk
VISION SECONDARY,B,0,9,kiswahili,2019,kk
VISION SECONDARY,B-,0,8,kiswahili,2019,kk
VISION SECONDARY,C+,0,7,kiswahili,2019,kk
VISION SECONDARY,C,1,6,kiswahili,2019,kk
VISION SECONDARY,C-,2,5,kiswahili,2019,kk
VISION SECONDARY,D+,0,4,kiswahili,2019,kk
VISION SECONDARY,D,12,3,kiswahili,2019,kk
VISION SECONDARY,D-,63,2,kiswahili,2019,kk
VISION SECONDARY,E,345,1,kiswahili,2019,kk
VISION SECONDARY,X,0,0,kiswahili,2019,kk
VISION SECONDARY,Y,0,0,kiswahili,2019,kk
VISION SECONDARY,U,0,0,kiswahili,2019,kk
VISION SECONDARY,P,0,0,kiswahili,2019,kk
VISION SECONDARY,W,0,0,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,kiswahili,2019,kk
