school,sex,grade,count
Somali Bantu Secondary,Female,Y,1
Somali Bantu Secondary,Female,P,0
Somali Bantu Secondary,Female,U,0
Kalobeyei Settlement Secondary,Male,A,0
Kalobeyei Settlement Secondary,Male,A-,0
Kalobeyei Settlement Secondary,Male,B+,0
Kalobeyei Settlement Secondary,Male,B,0
Kalobeyei Settlement Secondary,Male,B-,0
Kalobeyei Settlement Secondary,Male,C+,0
Kalobeyei Settlement Secondary,Male,C,0
Kalobeyei Settlement Secondary,Male,C-,2
Kalobeyei Settlement Secondary,Male,D+,0
Kalobeyei Settlement Secondary,Male,D,8
Kalobeyei Settlement Secondary,Male,D-,21
Kalobeyei Settlement Secondary,Male,E,14
Kalobeyei Settlement Secondary,Male,X,0
Kalobeyei Settlement Secondary,Male,W,0
Kalobeyei Settlement Secondary,Male,Y,0
Kalobeyei Settlement Secondary,Male,P,0
Kalobeyei Settlement Secondary,Male,U,0
Kalobeyei Settlement Secondary,Female,A,0
Kalobeyei Settlement Secondary,Female,A-,0
Kalobeyei Settlement Secondary,Female,B+,0
Kalobeyei Settlement Secondary,Female,B,0
Kalobeyei Settlement Secondary,Female,B-,0
Kalobeyei Settlement Secondary,Female,C+,0
Kalobeyei Settlement Secondary,Female,C,0
Kalobeyei Settlement Secondary,Female,C-,0
Kalobeyei Settlement Secondary,Female,D+,1
Kalobeyei Settlement Secondary,Female,D,NA
Kalobeyei Settlement Secondary,Female,D-,9
Kalobeyei Settlement Secondary,Female,E,3
Kalobeyei Settlement Secondary,Female,X,NA
Kalobeyei Settlement Secondary,Female,W,NA
Kalobeyei Settlement Secondary,Female,Y,NA
Kalobeyei Settlement Secondary,Female,P,NA
Kalobeyei Settlement Secondary,Female,U,NA
